ceads_city_id,city_name_zh,city_name_clean_zh,year,emissions_mtco2,join_status,source
山东聊城2019,山东聊城,山东聊城,2019,69.3268193350881,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
山东青岛2019,山东青岛,山东青岛,2019,49.41027056321525,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
河南三门峡2019,河南三门峡,河南三门峡,2019,25.947426241581567,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
河南信阳2019,河南信阳,河南信阳,2019,24.598058962659746,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
河南南阳2019,河南南阳,河南南阳,2019,24.16535152145527,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
河南周口2019,河南周口,河南周口,2019,10.556476126006498,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
河南安阳2019,河南安阳,河南安阳,2019,92.92917775812907,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
河南平顶山2019,河南平顶山,河南平顶山,2019,44.184067258313554,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
河南开封2019,河南开封,河南开封,2019,11.311332331208638,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
河南新乡2019,河南新乡,河南新乡,2019,33.77444576981824,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
河南洛阳2019,河南洛阳,河南洛阳,2019,47.31783257430587,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
河南济源2019,河南济源,河南济源,2019,34.29400287430356,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
河南濮阳2019,河南濮阳,河南濮阳,2019,11.888181823819885,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
河南许昌2019,河南许昌,河南许昌,2019,26.905195816923467,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
河南郑州2019,河南郑州,河南郑州,2019,59.93914803978148,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
湖北仙桃2019,湖北仙桃,湖北仙桃,2019,1.6579766149658342,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
湖北十堰2019,湖北十堰,湖北十堰,2019,9.146539201017664,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
湖北咸宁2019,湖北咸宁,湖北咸宁,2019,25.776791674907685,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
湖北孝感2019,湖北孝感,湖北孝感,2019,42.398022415721165,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
湖北宜昌2019,湖北宜昌,湖北宜昌,2019,36.814130133029714,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
湖北武汉2019,湖北武汉,湖北武汉,2019,127.62235484403719,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
湖北潜江2019,湖北潜江,湖北潜江,2019,12.11352017919113,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
湖北荆州2019,湖北荆州,湖北荆州,2019,18.76521577816298,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
湖北荆门2019,湖北荆门,湖北荆门,2019,36.892558180850685,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
湖北襄阳2019,湖北襄阳,湖北襄阳,2019,26.664052897252425,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
湖北鄂州2019,湖北鄂州,湖北鄂州,2019,30.91486620373912,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
湖北随州2019,湖北随州,湖北随州,2019,4.784705990751635,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
湖北黄石2019,湖北黄石,湖北黄石,2019,34.70180122774383,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
湖南常德2019,湖南常德,湖南常德,2019,25.462475575661355,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
湖南怀化2019,湖南怀化,湖南怀化,2019,8.837474159985977,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
湖南郴州2019,湖南郴州,湖南郴州,2019,21.766563052440198,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
湖南长沙2019,湖南长沙,湖南长沙,2019,32.4538372096605,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
广东东莞2019,广东东莞,广东东莞,2019,63.09841336765051,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
广东中山2019,广东中山,广东中山,2019,9.506352958056459,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
广东云浮2019,广东云浮,广东云浮,2019,15.763184318249264,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
广东佛山2019,广东佛山,广东佛山,2019,43.89832193620663,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
广东广州2019,广东广州,广东广州,2019,112.47938838536099,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
广东揭阳2019,广东揭阳,广东揭阳,2019,19.339366951414036,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
广东江门2019,广东江门,广东江门,2019,23.09876410839882,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
广东深圳2019,广东深圳,广东深圳,2019,44.26319349746742,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
广东清远2019,广东清远,广东清远,2019,22.959707549282104,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
广东潮州2019,广东潮州,广东潮州,2019,18.083147128167184,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
广东珠海2019,广东珠海,广东珠海,2019,19.2865378497746,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
广东惠州2019,广东惠州,广东惠州,2019,31.673064694011718,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
广东梅州2019,广东梅州,广东梅州,2019,31.042056542701346,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
广东汕头2019,广东汕头,广东汕头,2019,29.857307292124393,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
广东汕尾2019,广东汕尾,广东汕尾,2019,16.406295366390943,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
广东湛江2019,广东湛江,广东湛江,2019,57.015501341818336,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
广东肇庆2019,广东肇庆,广东肇庆,2019,20.404885723165986,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
广东阳江2019,广东阳江,广东阳江,2019,18.068362963319725,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
广东韶关2019,广东韶关,广东韶关,2019,34.526713039942834,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
广西南宁2019,广西南宁,广西南宁,2019,20.005916217019177,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
广西柳州2019,广西柳州,广西柳州,2019,65.04387073242069,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
广西桂林2019,广西桂林,广西桂林,2019,10.74219920865967,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
海南海口2019,海南海口,海南海口,2019,5.9315390900235885,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
重庆2019,重庆,重庆,2019,156.25468104172418,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
