sector,subsector,source_id,source_name,source_type,year,lat,lon,gas,emissions_tco2,activity_sum,activity_units,capacity,capacity_units,rows
manufacturing,aluminum,43765148,Donghai aluminium plant,Smelting,2023,37.7202711005697,120.467322649242,co2,365304.6635438418,146121.8654175367,t of alumina/aluminum,16986.301369863013,t of alumina/aluminum,12
manufacturing,aluminum,43765148,Donghai aluminium plant,Smelting,2024,37.7202711005697,120.467322649242,co2,365304.6635438418,146121.8654175367,t of alumina/aluminum,16986.301369863013,t of alumina/aluminum,12
manufacturing,aluminum,43765148,Donghai aluminium plant,Smelting,2025,37.7202711005697,120.467322649242,co2,365304.6635438418,146121.8654175367,t of alumina/aluminum,16986.301369863013,t of alumina/aluminum,12
manufacturing,aluminum,43765148,Donghai aluminium plant,Smelting,2026,37.7202711005697,120.467322649242,co2,31632.710649585188,12653.084259834075,t of alumina/aluminum,16986.301369863013,t of alumina/aluminum,1
manufacturing,aluminum,3672985,Emei aluminium plant,Smelting,2021,29.491172,115.4565889,co2,639283.1612017232,255713.26448068928,t of alumina/aluminum,29726.027397260274,t of alumina/aluminum,12
manufacturing,aluminum,3672985,Emei aluminium plant,Smelting,2022,29.491172,115.4565889,co2,809247.3979183345,323698.9591673339,t of alumina/aluminum,29726.027397260274,t of alumina/aluminum,12
manufacturing,aluminum,3672985,Emei aluminium plant,Smelting,2023,29.491172,115.4565889,co2,785389.781492556,314155.9125970225,t of alumina/aluminum,29726.027397260274,t of alumina/aluminum,12
manufacturing,aluminum,3672985,Emei aluminium plant,Smelting,2024,29.491172,115.4565889,co2,743798.3396306619,297519.3358522647,t of alumina/aluminum,29644.808743169397,t of alumina/aluminum,12
manufacturing,aluminum,3672985,Emei aluminium plant,Smelting,2025,29.491172,115.4565889,co2,750654.9420729316,300261.9768291727,t of alumina/aluminum,29726.027397260274,t of alumina/aluminum,12
manufacturing,aluminum,3672985,Emei aluminium plant,Smelting,2026,29.491172,115.4565889,co2,64684.398156466064,25873.759262586427,t of alumina/aluminum,29726.027397260274,t of alumina/aluminum,1
manufacturing,aluminum,3673007,Emeishan aluminium plant,Smelting,2021,29.5200156,103.3321693,co2,648415.7777903192,259366.31111612768,t of alumina/aluminum,30150.68493150685,t of alumina/aluminum,12
manufacturing,aluminum,3673007,Emeishan aluminium plant,Smelting,2022,29.5200156,103.3321693,co2,820808.0750314539,328323.2300125815,t of alumina/aluminum,30150.68493150685,t of alumina/aluminum,12
manufacturing,aluminum,3673007,Emeishan aluminium plant,Smelting,2023,29.5200156,103.3321693,co2,796609.6355138785,318643.8542055514,t of alumina/aluminum,30150.68493150685,t of alumina/aluminum,12
manufacturing,aluminum,3673007,Emeishan aluminium plant,Smelting,2024,29.5200156,103.3321693,co2,754424.0301968142,301769.61207872565,t of alumina/aluminum,30068.30601092896,t of alumina/aluminum,12
manufacturing,aluminum,3673007,Emeishan aluminium plant,Smelting,2025,29.5200156,103.3321693,co2,761378.5841025449,304551.43364101794,t of alumina/aluminum,30150.68493150685,t of alumina/aluminum,12
manufacturing,aluminum,3673007,Emeishan aluminium plant,Smelting,2026,29.5200156,103.3321693,co2,65608.46098727273,26243.38439490909,t of alumina/aluminum,30150.68493150685,t of alumina/aluminum,1
manufacturing,aluminum,48193119,Fangchenggang Prefecture City,Refinery,2021,21.8058610964229,108.077042429088,co2,7984773.4568392,3169480.0481199925,t of alumina/aluminum,327830.50290020776,t of alumina/aluminum,12
manufacturing,aluminum,48193119,Fangchenggang Prefecture City,Refinery,2022,21.8058610964229,108.077042429088,co2,7784994.587768758,3388528.3984744935,t of alumina/aluminum,338836.67147375713,t of alumina/aluminum,12
manufacturing,aluminum,48193119,Fangchenggang Prefecture City,Refinery,2023,21.8058610964229,108.077042429088,co2,6151056.386052651,3510568.8909365474,t of alumina/aluminum,345491.56409962423,t of alumina/aluminum,12
manufacturing,aluminum,48193119,Fangchenggang Prefecture City,Refinery,2024,21.8058610964229,108.077042429088,co2,6190598.2117791595,3650116.870152806,t of alumina/aluminum,356000.118607586,t of alumina/aluminum,12
manufacturing,aluminum,48193119,Fangchenggang Prefecture City,Refinery,2025,21.8058610964229,108.077042429088,co2,6766306.625099182,3989567.585553763,t of alumina/aluminum,409352.9375670792,t of alumina/aluminum,12
manufacturing,aluminum,48193119,Fangchenggang Prefecture City,Refinery,2026,21.8058610964229,108.077042429088,co2,577636.1784658473,340587.3693784477,t of alumina/aluminum,425734.2117230596,t of alumina/aluminum,1
manufacturing,aluminum,43765149,Fukang aluminium plant,Smelting,2021,44.099778,88.373315,co2,182652.3317719209,73060.93270876835,t of alumina/aluminum,8493.150684931506,t of alumina/aluminum,12
manufacturing,aluminum,43765149,Fukang aluminium plant,Smelting,2022,44.099778,88.373315,co2,182652.3317719209,73060.93270876835,t of alumina/aluminum,8493.150684931506,t of alumina/aluminum,12
manufacturing,aluminum,43765149,Fukang aluminium plant,Smelting,2023,44.099778,88.373315,co2,182652.3317719209,73060.93270876835,t of alumina/aluminum,8493.150684931506,t of alumina/aluminum,12
manufacturing,aluminum,43765149,Fukang aluminium plant,Smelting,2024,44.099778,88.373315,co2,182652.3317719209,73060.93270876835,t of alumina/aluminum,8493.150684931506,t of alumina/aluminum,12
manufacturing,aluminum,43765149,Fukang aluminium plant,Smelting,2025,44.099778,88.373315,co2,182652.3317719209,73060.93270876835,t of alumina/aluminum,8493.150684931506,t of alumina/aluminum,12
manufacturing,aluminum,43765149,Fukang aluminium plant,Smelting,2026,44.099778,88.373315,co2,15816.355324792594,6326.5421299170375,t of alumina/aluminum,8493.150684931506,t of alumina/aluminum,1
manufacturing,aluminum,43765129,"Fukang, Xinjiang (Nongliushi) aluminium plant",Smelting,2021,44.4360203709124,86.0767578821674,co2,3470394.303666497,1388157.7214665988,t of alumina/aluminum,161369.86301369863,t of alumina/aluminum,12
manufacturing,aluminum,43765129,"Fukang, Xinjiang (Nongliushi) aluminium plant",Smelting,2022,44.4360203709124,86.0767578821674,co2,4393057.302985245,1757222.9211940982,t of alumina/aluminum,161369.86301369863,t of alumina/aluminum,12
manufacturing,aluminum,43765129,"Fukang, Xinjiang (Nongliushi) aluminium plant",Smelting,2023,44.4360203709124,86.0767578821674,co2,4263544.528102447,1705417.8112409795,t of alumina/aluminum,161369.86301369863,t of alumina/aluminum,12
manufacturing,aluminum,43765129,"Fukang, Xinjiang (Nongliushi) aluminium plant",Smelting,2024,44.4360203709124,86.0767578821674,co2,4037762.415137879,1615104.9660551513,t of alumina/aluminum,160928.96174863388,t of alumina/aluminum,12
manufacturing,aluminum,43765129,"Fukang, Xinjiang (Nongliushi) aluminium plant",Smelting,2025,44.4360203709124,86.0767578821674,co2,4074983.9712530575,1629993.588501223,t of alumina/aluminum,161369.86301369863,t of alumina/aluminum,12
manufacturing,aluminum,43765129,"Fukang, Xinjiang (Nongliushi) aluminium plant",Smelting,2026,44.4360203709124,86.0767578821674,co2,351143.87570653006,140457.55028261204,t of alumina/aluminum,161369.86301369863,t of alumina/aluminum,1
manufacturing,aluminum,3673026,"Fukang, Xinjiang aluminium plant",Smelting,2021,44.1497919,87.9684506,co2,328774.19718945754,131509.67887578305,t of alumina/aluminum,15287.671232876712,t of alumina/aluminum,12
manufacturing,aluminum,3673026,"Fukang, Xinjiang aluminium plant",Smelting,2022,44.1497919,87.9684506,co2,328774.19718945754,131509.67887578305,t of alumina/aluminum,15287.671232876712,t of alumina/aluminum,12
