entity_type,entity_id,latitude,longitude,prefecture_code,prefecture_name,province_code,province_name,boundary_level,join_method,fallback_distance_km,boundary_source,evidence_grade
source,CT_1566531,38.2901277025542,117.818735633681,130900,沧州市,130000,河北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25455102,44.4281,86.0936,659001,石河子市,650000,新疆维吾尔自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453939,26.3259,104.7706,520200,六盘水市,520000,贵州省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453051,25.1994,104.6819,530300,曲靖市,530000,云南省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25455190,29.8266,116.376,360400,九江市,360000,江西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_33999129,39.4089113608289,108.618039637608,150600,鄂尔多斯市,150000,内蒙古自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566702,32.1211155089538,121.498959841827,320600,南通市,320000,江苏省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25451060,29.4498,113.1623,430600,岳阳市,430000,湖南省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453252,25.4686,104.5924,520200,六盘水市,520000,贵州省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25457224,36.8963,117.8605,371600,滨州市,370000,山东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566613,40.6716334052913,122.398759720671,210800,营口市,210000,辽宁省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25452610,29.6652,113.873,421200,咸宁市,420000,湖北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25450373,31.9118,112.1669,420600,襄阳市,420000,湖北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566657,29.7322791023305,104.50142214854,511000,内江市,510000,四川省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25451061,42.345,123.803,211200,铁岭市,210000,辽宁省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_48193104,34.36202296877,111.104904318461,411200,三门峡市,410000,河南省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_33998977,44.2007796772242,115.476948055145,152500,锡林郭勒盟,150000,内蒙古自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454852,39.2083,110.785,610800,榆林市,610000,陕西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566487,26.2610624956757,117.612347851755,350400,三明市,350000,福建省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566687,39.2733871821719,119.056127620488,130200,唐山市,130000,河北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25451540,39.9801,117.4631,120000,天津市,120000,天津市,municipality,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566654,26.5666099886919,101.675582979625,510400,攀枝花市,510000,四川省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_719336,29.613,112.7546,430600,岳阳市,430000,湖南省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1752995,38.2497,106.6579,150600,鄂尔多斯市,150000,内蒙古自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25455295,28.8151,113.5249,430600,岳阳市,430000,湖南省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25455729,38.0337,109.4151,610800,榆林市,610000,陕西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453211,35.599,110.5525,610500,渭南市,610000,陕西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_48193114,38.8835906748753,112.408765161322,140900,忻州市,140000,山西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454768,30.8818,117.7644,340700,铜陵市,340000,安徽省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25455142,37.8448,106.7868,640100,银川市,640000,宁夏回族自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_452533,45.4373,119.4275,150500,通辽市,150000,内蒙古自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25450595,34.3858,117.2576,320300,徐州市,320000,江苏省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25451577,34.9779,109.8,610500,渭南市,610000,陕西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
