change,locode,name,name_wo_diacritics,subdivision,function,status,date,iata,coordinates,remarks,latitude,longitude,is_water_port
,CNYOJ,Yongjia,Yongjia,33,-----6--,RL,0901,,2809N 12041E,,28.150000,120.683333,0
,CNYKN,Yongkang,Yongkang,ZJ,-----6--,AS,1707,,2892N 12002E,,29.533333,120.033333,0
,CNYLO,Yonglong,Yonglong,JS,1-------,RL,1401,,,,,,1
,CNYNN,Yongning,Yongning,GX,1-------,RL,1401,,,,,,1
,CNYTI,Yongtai,Yongtai,GD,1-------,AS,1401,,,,,,1
,CNYXU,Yongxiu,Yongxiu,36,--3-----,RQ,0901,,2944N 11559E,,29.733333,115.983333,0
,CNYZS,Yongzhou,Yongzhou,HN,--3-----,AS,1407,,2614N 11137E,,26.233333,111.616667,0
,CNYXI,Youxi,Youxi,35,--3-----,RL,0901,,2610N 11810E,,26.166667,118.166667,0
,CNYYG,Youyiguan,Youyiguan,GX,--3-----,AS,1401,,2157N 10642E,,21.950000,106.700000,0
¦,CNYUA,Yuanmou,Yuanmou,YN,---4----,RL,2407,,,,,,0
,CNYSH,Yuanshi,Yuanshi,HB,1-------,RL,1401,,,,,,1
,CNYUO,Yuanzhou,Yuanzhou,44,--3-----,RL,0901,,2307N 11358E,,23.116667,113.966667,0
,CNYCE,Yucheng,Yucheng,SD,-2------,RL,1401,,,,,,0
,CNYHG,Yuecheng,Yuecheng,GD,1-------,RL,1401,,,,,,1
,CNYLA,Yuelai,Yuelai,HL,1-------,RL,1401,,,,,,1
,CNYPU,Yuepu,Yuepu,GD,--3-----,RQ,0907,,2334N 11628E,,23.566667,116.466667,0
,CNYUE,Yueqing,Yueqing,ZJ,--3--6--,RL,0401,,4253N 12949E,,42.883333,129.816667,0
,CNYXN,Yuexiunan,Yuexiunan,GD,--3-----,RL,1401,,,,,,0
,CNYYU,Yuexu,Yuexu,GX,--3-----,AS,1401,,2257N 10632E,,22.950000,106.533333,0
,CNYYA,Yueyang,Yueyang,HN,1-3--6--,AS,1601,,2922N 11306E,,29.366667,113.100000,1
,CNYHN,Yuhang,Yuhang,12,--3-----,RL,0901,,3016N 11955E,,30.266667,119.916667,0
,CNYUH,Yuhuan,Yuhuan,ZJ,1-------,RL,1107,,2808N 12114E,,28.133333,121.233333,1
,CNUYN,Yulin,Yulin,HI,--3-----,RL,0201,,1814N 10932E,,18.233333,109.533333,0
¦,CNYUL,Yulin,Yulin,GX,-23--6--,AS,2407,,2238N 11009E,,22.633333,110.150000,0
¦,CNYUN,Yuncheng,Yuncheng,SX,-234-6--,RL,2407,,3502N 11101E,,35.033333,111.016667,0
,CNYUF,Yunfu,Yunfu,44,--3-----,RL,0901,,2256N 11202E,,22.933333,112.033333,0
,CNKML,Yunnan Tengjun International Land Port Logistics Center,Yunnan Tengjun International Land Port Logistics Center,YN,-----6--,AS,1801,,2443N 10235E,,24.716667,102.583333,0
,CNYUI,Yutai,Yutai,12,-----6--,RL,0901,,3950N 11712E,,39.833333,117.200000,0
¦,CNYUX,Yuxi,Yuxi,YN,-23--6--,AA,2407,,2421N 10231E,,24.350000,102.516667,0
,CNYOU,Yuyao,Yuyao,ZJ,-23-----,RL,0401,,3003N 12108E,,30.050000,121.133333,0
,CNYYP,Yuyue Pt,Yuyue Pt,HB,1-------,RL,1401,,,,,,1
,CNYUZ,Yuzhou,Yuzhou,SC,--3-----,RL,0010,,,,,,0
,CNYZU,Yuzhu,Yuzhu,GD,1-3-----,RL,0601,,2306N 11325E,,23.100000,113.416667,1
¦,CNZZS,Zaozhuang,Zaozhuang,SD,-23--6--,AS,2407,,3449N 11720E,,34.816667,117.333333,0
