change,locode,name,name_wo_diacritics,subdivision,function,status,date,iata,coordinates,remarks,latitude,longitude,is_water_port
,CNPGZ,Pingzhou,Pingzhou,GD,1-------,AS,1401,,2302N 11312E,,23.033333,113.200000,1
¦,CNPJS,Pizhou,Pizhou,JS,1-------,RL,2407,,3420N 11801E,,34.333333,118.016667,1
,CNPJO,Pojiao,Pojiao,GZ,1-------,RL,1401,,,,,,1
,CNPDG,Pudong/Shanghai,Pudong/Shanghai,SH,1-3-----,RL,0607,,3114N 12130E,,31.233333,121.500000,1
,CNPDX,Pudongxinqu Pt,Pudongxinqu Pt,SH,1-------,RL,1401,,,,,,1
,CNPQI,Puqi,Puqi,ZJ,1-------,RL,1401,,,,,,1
,CNPQA,Puqian,Puqian,HI,1-------,RL,1401,,,,,,1
,CNPUT,Putian,Putian,FJ,1----6--,AS,1601,,2426N 11901E,,24.433333,119.016667,1
,CNPXI,Puxi,Puxi,ZJ,1-------,RL,1401,,,,,,1
,CNPYG,Puyang,Puyang,41,123--6--,RL,0901,,3542N 11500E,,35.700000,115.000000,1
,CNQJO,Qiangjiao,Qiangjiao,ZJ,1-------,RL,1401,,,,,,1
,CNQSN,Qianshan/Zhuhai,Qianshan/Zhuhai,GD,1-3--6--,RL,1401,,2214N 11331E,,22.233333,113.516667,1
,CNQAW,Qianwan,Qianwan,SD,1-3-----,RL,0401,,3603N 12013E,,36.050000,120.216667,1
,CNLJQ,Qianyu,Qianyu,FJ,1-------,AS,1407,,2612N 11931E,,26.200000,119.516667,1
,CNQKE,Qike,Qike,HL,1-------,RL,1401,,,,,,1
,CNQMN,Qimen,Qimen,ZJ,1-------,RL,1401,,,,,,1
,CNQDL,Qindeli,Qindeli,HL,1-------,RL,1401,,,,,,1
,CNQIN,Qingdao,Qingdao,SD,12-45---,AS,2007,,3603N 12019E,,36.050000,120.316667,1
,CNQDG,Qingdao Pt,Qingdao Pt,SD,1-------,AS,1601,,,,,,1
,CNQGG,Qingge,Qingge,HI,1-------,RL,1401,,,,,,1
,CNQIG,Qingguji / Shangqiu,Qingguji / Shangqiu,41,1----6--,RL,0901,,3441N 11546E,,34.683333,115.766667,1
,CNQHE,Qinghe,Qinghe,HL,1-------,RL,1401,,,,,,1
,CNQJI,Qingjiang,Qingjiang,ZJ,1-------,RL,1401,,,,,,1
,CNQLN,Qinglan Pt,Qinglan Pt,HI,1-------,AS,1407,,1933N 11049E,,19.550000,110.816667,1
,CNQGS,Qingshi,Qingshi,JL,1-------,AS,1401,,4122N 12631E,,41.366667,126.516667,1
,CNQSE,Qingshuihe/Shenzhen,Qingshuihe/Shenzhen,GD,1----6--,RQ,1401,,,,,,1
,CNQYA,Qingyang,Qingyang,JS,1-------,RL,1401,,,,,,1
,CNQGY,Qingyuan,Qingyuan,GD,1-------,AS,1401,,2342N 11301E,,23.700000,113.016667,1
,CNSHP,Qinhuangdao Pt,Qinhuangdao Pt,HE,1-------,AS,1601,,3955N 11935E,,39.916667,119.583333,1
,CNQJG,Qinjiang,Qinjiang,GX,1-------,RL,1401,,,,,,1
,CNQZH,Qinzhou,Qinzhou,GX,123-----,AS,2107,,,,,,1
,CNSAJ,Qinzhoushajing,Qinzhoushajing,GX,1-------,RL,1401,,,,,,1
,CNQSA,Qisha Pt,Qisha Pt,GX,1-------,AS,1407,,2135N 10828E,,21.583333,108.466667,1
,CNQXT,Qixingtai,Qixingtai,HB,1-------,RL,1401,,,,,,1
,CNQZO,Qizhou,Qizhou,HB,1-------,RL,1401,,,,,,1
,CNQUG,"Quangang,Quanzhou","Quangang,Quanzhou",FJ,123--6--,,2307,,2508N 11855E,,25.133333,118.916667,1
,CNQZL,Quanzhou,Quanzhou,FJ,1-------,AS,1401,,2456N 11836E,,24.933333,118.600000,1
,CNQKU,Qukou,Qukou,HI,1-------,RL,1401,,,,,,1
,CNJDR,Quxi,Quxi,GD,1-------,AS,1407,,2335N 11626E,,23.583333,116.433333,1
,CNROH,Raohe,Raohe,HL,1-------,AS,1601,,4648N 13400E,,46.800000,134.000000,1
,CNRPG,Raoping,Raoping,GD,1-3-----,RL,0401,,2340N 11700E,,23.666667,117.000000,1
,CNRZH,Rizhao,Rizhao,SD,123-----,AS,2107,,3523N 11932E,,35.383333,119.533333,1
,CNRGA,Rong'an,Rong'an,GX,1-------,RL,1401,,,,,,1
,CNRCG,Rongcheng,Rongcheng,SD,1-3-----,RL,1401,,3709N 12223E,,37.150000,122.383333,1
,CNRCH,Rongcheng,Rongcheng,HB,1-------,RL,1401,,,,,,1
,CNRGC,Rongcheng,Rongcheng,GD,1-------,AS,1401,,,,,,1
,CNRJG,Rongjiang,Rongjiang,GZ,1-------,RL,1401,,,,,,1
,CNROQ,Rongqi Pt,Rongqi Pt,GD,1-------,AS,1601,,2247N 11316E,,22.783333,113.266667,1
,CNRSI,Rongshui,Rongshui,GX,1-------,RL,1401,,,,,,1
,CNRUG,Rugao,Rugao,JS,123-----,AS,2107,,,,,,1
,CNRIA,Ruian,Ruian,ZJ,1----6--,RL,1401,,,,,,1
,CNRAG,Ruichang,Ruichang,JX,1-------,RL,1401,,,,,,1
,CNRJN,Runjiang,Runjiang,JS,1-------,RL,1401,,,,,,1
,CNWHR,Rushan,Rushan,SD,1-------,AS,1407,,,,,,1
,CNRSN,Rushankou,Rushankou,SD,1-------,RL,1401,,,,,,1
,CNSIQ,Saiqi,Saiqi,FJ,1-------,AS,1401,,2658N 11941E,,26.966667,119.683333,1
,CNSBM,Sanbaimen,Sanbaimen,,1-------,AS,1601,,,,,,1
,CNSBU,Sanbu Pt,Sanbu Pt,GD,1-------,AS,1601,,,,,,1
,CNSDP,Sandouping,Sandouping,HB,1-------,RL,1401,,,,,,1
,CNSAA,Sanhua,Sanhua,HB,1-------,RL,1401,,,,,,1
,CNSIG,Sanjiang,Sanjiang,JS,1-------,RL,1401,,,,,,1
,CNPTS,Sanjiangkou,Sanjiangkou,FJ,1-------,AS,1407,,,,,,1
,CNSAM,Sanming / Shanming Shi,Sanming / Shanming Shi,35,1----6--,RL,0901,,2614N 11737E,,26.233333,117.616667,1
,CNSRG,Sanrong,Sanrong,GD,1----6--,RQ,0407,,,,,,1
,CNSNS,Sansha,Sansha,FJ,1-------,AS,1601,,2656N 12013E,,26.933333,120.216667,1
,CNNHS,Sanshan pt,Sanshan pt,GD,1-------,AS,1407,,,,,,1
,CNSJQ,Sanshui,Sanshui,GD,1-------,AS,1601,,2310N 11252E,,23.166667,112.866667,1
,CNSYA,Sanya Pt,Sanya Pt,HI,1-------,AS,1601,,3347N 12015E,,33.783333,120.250000,1
,CNSNA,Sanyang,Sanyang,JS,1-------,RL,1401,,,,,,1
,CNSZA,Sanzao,Sanzao,GD,1-3-----,RL,1401,,2203N 11321E,,22.050000,113.350000,1
,CNSZO,Sanzhou,Sanzhou,HB,1-------,RL,1401,,,,,,1
,CNNDS,Shacheng,Shacheng,FJ,1-------,AS,1407,,2639N 11931E,,26.650000,119.516667,1
,CNSAT,Shadi,Shadi,GD,1-------,AS,1401,,2136N 11247E,,21.600000,112.783333,1
,CNSEZ,Shahezi,Shahezi,HL,1-------,RL,1401,,,,,,1
,CNSHO,Shajiao,Shajiao,GD,1-------,RL,9901,,,,,,1
,CNSGH,Shanghai,Shanghai,SH,12345---,AS,1401,,3114N 12129E,,31.233333,121.483333,1
¦,CNSHG,Shanghai Pt,Shanghai Pt,SH,1-------,AS,2407,,3038N 12204E,,30.633333,122.066667,1
,CNSGU,Shangyu,Shangyu,ZJ,1-3--6--,RL,1401,,3000N 12052E,,30.000000,120.866667,1
,CNSXJ,Shanshan,Shanshan,XJ,1-34----,RL,1401,,4252N 09010E,,42.866667,90.166667,1
,CNSTG,Shantou,Shantou,GD,123-----,AS,2107,,2325N 11646E,,23.416667,116.766667,1
,CNSAW,Shanwai,Shanwai,ZJ,1----6--,RL,1401,,2803N 12112E,,28.050000,121.200000,1
,CNSWE,Shanwei,Shanwei,GD,123-----,AS,2107,,2247N 11521E,,22.783333,115.350000,1
,CNHSC,Shaoguan New Pt,Shaoguan New Pt,GD,1-------,AS,1601,,2448N 11337E,,24.800000,113.616667,1
,CNSPA,Shapa,Shapa,GD,1-------,AS,1401,,2130N 11129E,,21.500000,111.483333,1
,CNSAP,Shaping,Shaping,GX,1-------,RL,1401,,,,,,1
,CNSSN,Shashan,Shashan,ZJ,1-------,RL,1401,,,,,,1
,CNSSG,Shashangang,Shashangang,44,1-3-----,RQ,0901,,,,,,1
¦,CNSTI,Shatian,Shatian,GD,1-------,AS,2407,,2255N 11336E,coordinates,22.916667,113.600000,1
,CNSHT,Shating,Shating,GD,1-3--6--,RL,0407,,2303N 11326E,,23.050000,113.433333,1
,CNSYC,Shayuchong,Shayuchong,GD,1-------,AS,1401,,,,,,1
,CNSHK,Shekou Pt,Shekou Pt,GD,1-------,AS,1601,,2229N 11355E,,22.483333,113.916667,1
,CNSNH,Shenhu,Shenhu,FJ,1-------,AS,1401,,2437N 11840E,,24.616667,118.666667,1
,CNSQN,Shenquan,Shenquan,GD,1-------,RL,1401,,,,,,1
,CNSNW,Shenwan,Shenwan,GD,1-------,AS,1601,,,,,,1
,CNSNZ,Shenzhen,Shenzhen,GD,12345---,AS,1401,,2233N 11407E,,22.550000,114.116667,1
¦,CNSZP,Shenzhen Pt,Shenzhen Pt,GD,1-------,RL,2407,,2230N 11353E,,22.500000,113.883333,1
,CNSEY,Sheyang,Sheyang,JS,1-------,AS,1401,,3346N 12015E,,33.766667,120.250000,1
,CNSBH,Shibahe,Shibahe,AH,1-------,RL,1401,,,,,,1
