FID,County name,Province name,Storage potential-DSA (Mt),Storage potential-EOR (Mt),Storage potential-ALL (Mt),Injection rate capability-DSA (Mt/a),Injection rate capability-EOR (Mt/a)
226,Lintan County,Gansu,0,0,0,0,0
227,Luqu County,Gansu,0,0,0,0,0
228,Maqu County,Gansu,0,0,0,0,0
229,Xiahe County,Gansu,0,0,0,0,0
230,Zhouqu County,Gansu,0,0,0,0,0
231,Zhuoni County,Gansu,0,0,0,0,0
232,Jiayuguan City,Gansu,0,0,0,0,0
233,Jinchuan District,Gansu,0,0,0,0,0
234,Yongchang County,Gansu,0,0,0,0,0
235,Aksai Kazakh Autonomous County,Gansu,0,0,0,0,0
236,Dunhuang City,Gansu,0,0,0,0,0
237,Guazhou County,Gansu,0,0,0,0,0
238,Jinta County,Gansu,464.51,0,464.51,0.09,0
239,Subei Mongolian Autonomous County,Gansu,0,0,0,0,0
240,Suzhou District,Gansu,0,0,0,0,0
241,Yumen City,Gansu,0,0,0,0,0
242,Anning District,Gansu,0,0,0,0,0
243,Chengguan District,Gansu,0,0,0,0,0
244,Gaolan County,Gansu,0,0,0,0,0
245,Honggu District,Gansu,0,0,0,0,0
246,Qilihe District,Gansu,0,0,0,0,0
247,Xigu District,Gansu,0,0,0,0,0
248,Yongdeng County,Gansu,0,0,0,0,0
249,Yuzhong County,Gansu,0,0,0,0,0
250,Dongxiang Autonomous County,Gansu,0,0,0,0,0
251,Guanghe County,Gansu,0,0,0,0,0
252,Hezuo County,Gansu,0,0,0,0,0
253,Jishishan Bao'an Dongxiang Salar Autonomous County,Gansu,0,0,0,0,0
254,Kangle County,Gansu,0,0,0,0,0
255,Linxia City,Gansu,0,0,0,0,0
256,Linxia County,Gansu,0,0,0,0,0
257,Yongjing County,Gansu,0,0,0,0,0
258,Cheng County,Gansu,0,0,0,0,0
259,Dangchang County,Gansu,0,0,0,0,0
260,Hui County,Gansu,0,0,0,0,0
261,Kang County,Gansu,0,0,0,0,0
262,Li County,Gansu,0,0,0,0,0
263,Liangdang County,Gansu,0,0,0,0,0
264,Wen County,Gansu,0,0,0,0,0
265,Wudu District,Gansu,0,0,0,0,0
266,Xihe County,Gansu,0,0,0,0,0
267,Chongxin County,Gansu,0,0,0,0,0
268,Huating City,Gansu,0,0,0,0,0
269,Jingchuan County,Gansu,3.37,0,3.37,0.01,0
270,Jingning County,Gansu,0,0,0,0,0
271,Kongtong District,Gansu,0,0,0,0,0
272,Lingtai County,Gansu,0,0,0,0,0
273,Zhuanglang County,Gansu,0,0,0,0,0
274,Heshui County,Gansu,113.95,38.03,151.98,0.09,0.04
275,Huachi County,Gansu,346.71,153.4,500.11,0.29,8.32
276,Huan County,Gansu,505.2,76.14,581.34,0.49,1.29
277,Ning County,Gansu,26.13,0.27,26.4,0.06,0.03
278,Qingcheng County,Gansu,55.83,68.83,124.66,0.06,0.14
279,Xifeng District,Gansu,11.88,0,11.88,0.02,0
280,Zhenyuan County,Gansu,20.59,16.71,37.3,0.02,0.01
281,Zhengning County,Gansu,9.9,0,9.9,0.02,0
282,Gangu County,Gansu,0,0,0,0,0
283,Maiji District,Gansu,0,0,0,0,0
284,Qin'an County,Gansu,0,0,0,0,0
285,Qinzhou District,Gansu,0,0,0,0,0
286,Qingshui County,Gansu,0,0,0,0,0
287,Wushan County,Gansu,0,0,0,0,0
288,Zhangjiachuan Hui Autonomous County,Gansu,0,0,0,0,0
289,Gulang County,Gansu,0,0,0,0,0
290,Liangzhou District,Gansu,0,0,0,0,0
291,Minqin County,Gansu,0,0,0,0,0
292,Tianzhu Tibetan Autonomous County,Gansu,0,0,0,0,0
293,Ganzhou District,Gansu,0,0,0,0,0
294,Gaotai County,Gansu,0,0,0,0,0
295,Linze County,Gansu,0,0,0,0,0
296,Minle County,Gansu,0,0,0,0,0
297,Shandan County,Gansu,0,0,0,0,0
298,Sunan Yugur Autonomous County,Gansu,0,0,0,0,0
299,Chao'an District,Guangdong,0,0,0,0,0
300,Raoping County,Guangdong,0,0,0,0,0
301,Xiangqiao District,Guangdong,0,0,0,0,0
302,Dongguan City,Guangdong,0,0,0,0,0
303,Chancheng District,Guangdong,0,0,0,0,0
304,Gaoming District,Guangdong,0,0,0,0,0
305,Nanhai District,Guangdong,0,0,0,0,0
306,Sanshui District,Guangdong,0,0,0,0,0
307,Shunde District,Guangdong,0,0,0,0,0
308,Baiyun District,Guangdong,0,0,0,0,0
309,Conghua District,Guangdong,0,0,0,0,0
310,Panyu District,Guangdong,0,0,0,0,0
311,Haizhu District,Guangdong,0,0,0,0,0
312,Huadu District,Guangdong,0,0,0,0,0
313,Huangpu District,Guangdong,0,0,0,0,0
314,Liwan District,Guangdong,0,0,0,0,0
315,Nansha District,Guangdong,0,0,0,0,0
316,Tianhe District,Guangdong,0,0,0,0,0
317,Yuexiu District,Guangdong,0,0,0,0,0
318,Zengcheng District,Guangdong,0,0,0,0,0
319,Dongyuan County,Guangdong,0,0,0,0,0
320,Heping County,Guangdong,0,0,0,0,0
321,Lianping County,Guangdong,0,0,0,0,0
322,Longchuan County,Guangdong,0,0,0,0,0
323,Yuancheng District,Guangdong,0,0,0,0,0
324,Zijin County,Guangdong,0,0,0,0,0
325,Boluo County,Guangdong,0,0,0,0,0
326,Huicheng District,Guangdong,0,0,0,0,0
327,Huidong County,Guangdong,0,0,0,0,0
328,Huiyang District,Guangdong,0,0,0,0,0
329,Longmen County,Guangdong,0,0,0,0,0
330,Enping City,Guangdong,0,0,0,0,0
331,Heshan City,Guangdong,0,0,0,0,0
332,Jianghai District,Guangdong,0,0,0,0,0
333,Kaiping City,Guangdong,0,0,0,0,0
334,Pengjiang District,Guangdong,0,0,0,0,0
335,Taishan City,Guangdong,0,0,0,0,0
336,Xinhui District,Guangdong,0,0,0,0,0
337,Huilai County,Guangdong,0,0,0,0,0
338,Jiedong District,Guangdong,0,0,0,0,0
339,Jiexi County,Guangdong,0,0,0,0,0
340,Puning City,Guangdong,0,0,0,0,0
341,Rongcheng District,Guangdong,0,0,0,0,0
342,Dianbai District,Guangdong,0,0,0,0,0
343,Gaozhou City,Guangdong,0,0,0,0,0
344,Huazhou City,Guangdong,0,0,0,0,0
345,Maonan District,Guangdong,0,0,0,0,0
346,Xinyi City,Guangdong,0,0,0,0,0
347,Dabu County,Guangdong,0,0,0,0,0
348,Fengshun County,Guangdong,0,0,0,0,0
349,Jiaoling County,Guangdong,0,0,0,0,0
350,Meijiang District,Guangdong,0,0,0,0,0
351,Meixian District,Guangdong,0,0,0,0,0
352,Pingyuan County,Guangdong,0,0,0,0,0
353,Wuhua County,Guangdong,0,0,0,0,0
354,Xingning City,Guangdong,0,0,0,0,0
355,Fogan County,Guangdong,0,0,0,0,0
356,Liannan Yao Autonomous County,Guangdong,0,0,0,0,0
357,Lianshan Zhuang and Yao Autonomous County,Guangdong,0,0,0,0,0
358,Lianzhou City,Guangdong,0,0,0,0,0
359,Qingcheng District,Guangdong,0,0,0,0,0
360,Qingxin District,Guangdong,0,0,0,0,0
361,Yangshan County,Guangdong,0,0,0,0,0
362,Yingde City,Guangdong,0,0,0,0,0
363,Chaonan District,Guangdong,0,0,0,0,0
364,Chaoyang District,Guangdong,0,0,0,0,0
365,Chenghai District,Guangdong,0,0,0,0,0
366,Haojiang District,Guangdong,0,0,0,0,0
367,Jinping District,Guangdong,0,0,0,0,0
368,Longhu District,Guangdong,0,0,0,0,0
369,Nanao County,Guangdong,0,0,0,0,0
370,Chengqu District,Guangdong,0,0,0,0,0
371,Haifeng County,Guangdong,0,0,0,0,0
372,Lufeng City,Guangdong,0,0,0,0,0
373,Luhe County,Guangdong,0,0,0,0,0
374,Lechang City,Guangdong,0,0,0,0,0
375,Nanxiong City,Guangdong,0,0,0,0,0
376,Qujiang District,Guangdong,0,0,0,0,0
377,Renhua County,Guangdong,0,0,0,0,0
378,Ruyuan Yao Autonomous County,Guangdong,0,0,0,0,0
379,Shixing County,Guangdong,0,0,0,0,0
380,Wengyuan County,Guangdong,0,0,0,0,0
381,Wujiang District,Guangdong,0,0,0,0,0
382,Xinfeng County,Guangdong,0,0,0,0,0
383,Zhenjiang District,Guangdong,0,0,0,0,0
384,Bao'an District,Guangdong,0,0,0,0,0
385,Futian District,Guangdong,0,0,0,0,0
386,Guangming District,Guangdong,0,0,0,0,0
387,Longgang District,Guangdong,0,0,0,0,0
388,Longhua District,Guangdong,0,0,0,0,0
389,Luohu District,Guangdong,0,0,0,0,0
390,Nanshan District,Guangdong,0,0,0,0,0
391,Pingshan District,Guangdong,0,0,0,0,0
392,Yantian District,Guangdong,0,0,0,0,0
393,Jiangcheng District,Guangdong,0,0,0,0,0
394,Yangchun City,Guangdong,0,0,0,0,0
395,Yangdong District,Guangdong,0,0,0,0,0
396,Yangxi County,Guangdong,0,0,0,0,0
397,Luoding City,Guangdong,0,0,0,0,0
398,Xinxing County,Guangdong,0,0,0,0,0
399,Yu'nan County,Guangdong,0,0,0,0,0
400,Yu'nan District,Guangdong,0,0,0,0,0
401,Yuncheng District,Guangdong,0,0,0,0,0
402,Chikan District,Guangdong,0,0,0,0,0
403,Leizhou City,Guangdong,0,0,0,0,0
404,Lianjiang City,Guangdong,0,0,0,0,0
405,Mazhang District,Guangdong,0,0,0,0,0
406,Potou District,Guangdong,0,0,0,0,0
407,Suixi County,Guangdong,0,0,0,0,0
408,Wuchuan City,Guangdong,0,0,0,0,0
409,Xiashan District,Guangdong,0,0,0,0,0
410,Xuwen County,Guangdong,0,0,0,0,0
411,Deqing County,Guangdong,0,0,0,0,0
412,Dinghu District,Guangdong,0,0,0,0,0
413,Duanzhou District,Guangdong,0,0,0,0,0
414,Fengkai County,Guangdong,0,0,0,0,0
415,Gaoyao District,Guangdong,0,0,0,0,0
416,Guangning County,Guangdong,0,0,0,0,0
417,Huaji County,Guangdong,0,0,0,0,0
418,Sihui City,Guangdong,0,0,0,0,0
419,Zhongshan City,Guangdong,0,0,0,0,0
420,Doumen District,Guangdong,0,0,0,0,0
421,Jinwan District,Guangdong,0,0,0,0,0
422,Xiangzhou District,Guangdong,0,0,0,0,0
423,Debao County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
424,Jingxi City,Guangxi Zhuang Autonomous Region,0,0,0,0,0
